"","accession","Domain","Phylum","Class","Order","Family","Genus","Species"
"228","AJ635359.1.1533","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__Actinomyces naeslundii"
"229","JQ454662.1.1459","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"230","KJ808211.1.1506","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"231","JQ460237.1.1233","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"232","GU561323.1.1376","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__Actinomyces oris"
"233","JQ466657.1.1404","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__F0332","D_6__uncultured bacterium"
"234","LN613086.1.1496","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__uncultured","D_6__uncultured rumen bacterium"
"235","JQ467972.1.1395","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"236","JF155580.1.1381","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"237","AF068463.1.1426","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetales Incertae Sedis","D_5__Candidatus Ancillula","D_6__uncultured Treponema clone RFS10"
