Acetic_acid,Propionic_acid,Isobutyric_acid,Butyric_acid,Isovaleric_acid,Valeric_acid,day,reactor
631.9594409,271.7853956,25.49424305,230.2825453,62.75556023,107.49598,11,9
639.7703735,391.1863485,26.12294399,229.5665297,54.93562451,80.1326914,11,10
663.724017,381.2793077,0,252.568723,60.32298586,80.13944297,11,11
737.6167081,402.7443496,28.69171935,237.1813391,58.22513045,74.83260895,11,12
665.538818,253.5575787,31.772209,220.3358746,94.99649324,122.0628163,12,1
572.8890441,322.513779,24.66646687,255.2730405,63.23925775,95.23189754,12,2
665.5578678,277.3045398,23.56645103,293.1342205,86.29498422,103.4151536,12,3
726.2233104,348.5729341,26.1928105,226.7250909,70.63510058,67.11722903,12,4
586.8555283,328.5913047,21.19626541,192.1102621,74.56136837,90.09669779,12,5
598.6627549,351.066879,18.61130359,191.3043747,77.07798583,93.63439587,12,6
557.9419185,261.0596052,21.51119977,224.0272913,71.81667388,88.7215867,12,7
684.8847538,376.2055327,24.81142685,264.2076527,73.51407701,78.01406611,12,8
703.396335,272.5750988,25.88930104,235.4705274,82.82017998,110.9440907,12,9
675.5190206,384.9264065,24.58780546,232.2955175,67.07874334,78.64056585,12,10
691.3951646,281.9516018,26.65603721,294.0156314,103.2585115,112.6113841,12,11
696.6805376,371.3267907,26.43547385,234.3156527,66.68980139,69.08220351,12,12
642.7297221,231.0678523,24.22484749,213.7729654,106.0443229,123.5472914,14,1
545.4629431,302.2108737,25.29934477,232.295651,75.30038654,92.06024737,14,2
576.1537744,268.7031016,21.44992419,256.6031207,95.97933699,92.1480369,14,3
685.1605531,321.3209838,25.49883944,244.6352024,91.36223174,68.92574593,14,4
581.1678992,333.624773,25.07070327,196.3082531,93.20316064,93.55383607,14,5
571.3679219,312.4422615,18.0182031,198.4833727,83.91891965,86.8391229,14,6
558.1856647,269.3760563,20.52301831,224.232328,82.65731282,95.47098534,14,7
674.2015296,371.7016809,22.58688636,276.2986775,80.91797961,78.29432319,14,8
603.3934735,246.6011891,28.51010176,216.5239985,91.73402764,104.2802438,14,9
600.1507188,324.2479885,23.64545717,200.8007967,72.92421526,68.57713639,14,10
682.465561,242.1861398,21.20079142,255.7561459,106.9593956,97.99936204,14,11
598.0433443,346.1793847,23.25810675,207.9774812,78.97031731,79.793951,14,12
700.140902,250.0211888,16.56952836,218.774953,106.125134,131.5498425,13,1
565.1015824,301.2097589,24.38644495,240.6502787,73.00479255,97.85621155,13,2
629.2709504,267.5941954,27.08849398,266.7274216,99.04619328,99.78416716,13,3
744.9002932,345.1870479,27.93041985,244.6688821,88.81594663,74.78960355,13,4
584.1391457,324.4297906,23.52144809,191.7744664,81.83143115,86.11247806,13,5
612.4781411,333.4652867,22.34658584,203.240126,92.52757371,97.83666452,13,6
567.5128433,265.6200911,21.71130633,231.4284995,81.80435523,93.78501516,13,7
675.9725095,358.7154426,27.00634506,259.0626489,82.53690425,72.92730839,13,8
660.7081693,246.8853317,28.49609714,213.4323647,96.58693937,107.9609585,13,9
760.7607682,410.4916708,26.87405531,243.1271139,78.14305339,86.61766951,13,10
709.0037339,263.0023343,29.02912285,278.4650323,113.5295143,105.4708343,13,11
612.3889387,337.9578526,28.06046599,211.7027778,73.59701227,70.36224753,13,12
